Comment,Designator,Footprint,LCSC Part #
100nF,"C1, C10, C11, C2, C3, C8, C9",402,C1525
1uF,"C4, C6, C7",603,C15849
22uF,C5,1206,C5672
B5819W,"D1, D2, D3, D4",D_SOD-123,C8598
BLUE,D5,603,C965807
GREEN,D6,603,C965805
RED,D7,603,C965799
WHITE,D8,603,C965808
YELLOW,D9,603,C965802
CBM201209U601T,FB1,805,C139168
SWD,J1,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,
BOOTLDR,J2,JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,
NODE,J3,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,
Probe,J4,PinHeader_2x05_P2.54mm_Vertical,
EXT1,J5,PinHeader_2x07_P2.54mm_Vertical,
EXT2,J6,PinHeader_2x05_P2.54mm_Vertical,
Si2301,"Q1, Q2, Q3, Q4, Q5",SOT-23_GSD,C2891731
Si2300A,"Q10, Q6, Q7, Q8, Q9",SOT-23_GSD,C347480
2k4,"R1, R12, R2, R3, R4, R5",402,C2906865
4k7,"R10, R11, R6, R7, R8, R9",402,
TestPoint,TP1,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,
STM32G070CBTx,U1,LQFP-48_7x7mm_P0.5mm,C529338
HXY6206I-3V3,U2,SOT-23,C5148688
74LV14,U3,SOIC-14_3.9x8.7mm_P1.27mm,
